gene_id	Ctrl_18M_A	Ctrl_18M_B	Ctrl_18M_C	MCAO_18M_A	MCAO_18M_B	MCAO_18M_C
ENSMUSG00000000001.4	7.86694259630883	4.64735377098018	7.40130052061391	11.6014702804746	13.4185616786849	17.6796399158153
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.14	0.261798791371404	0.180432317677846	0.257105879665629	0.667458816573593	0.486234243980711	3.18244704590285
ENSMUSG00000000031.15	0	0	1.29076719631449	7.58390034508816	5.88748665706506	8.09029095650535
ENSMUSG00000000037.16	0.130734251728924	0.10215876643357	0	0.111654154836408	0.0864539037131662	0.264978866700475
ENSMUSG00000000049.11	1.02317629994864	0.282070145775006	0.401935039298867	0	0.477429217355819	0
ENSMUSG00000000056.7	27.9232427582146	49.4872173099066	51.8035457391138	23.8113701501084	34.478840325999	34.835330634957
ENSMUSG00000000058.6	3.19685854011231	4.62688833633551	6.75004066890651	4.81167501454982	5.40740721387363	5.15437768816046
ENSMUSG00000000078.6	34.213083377228	23.5449693189542	30.779116081115	27.7539443968926	39.5581077357529	41.3444455883709
ENSMUSG00000000085.16	102.505127691648	128.008406728881	128.351026062219	107.29360686807	115.397408630821	108.986826209019
ENSMUSG00000000088.6	911.428128863931	1083.82439834446	1043.60926339527	787.564397810233	876.494943156975	770.666745966526
ENSMUSG00000000093.6	0.177247366494717	0.325756470920113	0.464187095017058	0.529775505698673	0.34460906466961	0.615607347030263
ENSMUSG00000000094.12	0	0.198586890391793	0	0	0.0854244503881116	0.187629543185296
ENSMUSG00000000103.12	0	0	0	0	0	0
ENSMUSG00000000120.6	0.187079818705893	0.171914462637806	0.122483918431979	0.399400548579934	0.509214491686865	0.270731721013932
ENSMUSG00000000125.5	0.774244595043911	0.970202743086011	3.06121326893005	2.0737081194911	1.8884752097183	1.30379254427759
ENSMUSG00000000126.11	8.95771386884273	11.3628712304879	13.257890342944	6.73386484799077	8.55592034122719	6.81948943370035
ENSMUSG00000000127.14	1.58600469640184	1.78867257244753	0.707989178857056	2.40098683000311	1.43117425831885	1.87789544445889
ENSMUSG00000000131.15	27.310567802542	26.7173041537809	33.6042203919245	25.0310413152513	22.7769723955862	27.0657812816155
ENSMUSG00000000134.17	6.15181767944625	8.17542790080594	5.01277317964033	6.12377618660517	10.8004175242418	6.91293336591686
ENSMUSG00000000142.15	11.3022790463823	6.50464008120977	10.993149510459	6.88824292464116	6.52832322002184	9.43360241388623
ENSMUSG00000000148.17	2.39055001412317	1.24679084688488	2.80496218101101	2.15607964953336	2.43678053248043	2.52738071133507
ENSMUSG00000000149.10	4.53181020730274	2.34249995296578	3.46155832522701	3.54754633771587	4.33202328317181	3.88028025923837
ENSMUSG00000000154.15	0.171202276518829	0.235987311817512	0.336268037788098	0.877266777503266	0.998631995646815	1.33797808202777
ENSMUSG00000000157.15	0	0.11714568762532	0	0	0	0
ENSMUSG00000000159.15	5.14017408454556e-08	9.54513645774555e-08	1.17194059055304e-07	0.191593035077021	1.99603352929853e-07	0.259743369771457
ENSMUSG00000000167.14	2.44593254548478	3.01183514478811	4.92381152008713	2.22901133980666	3.97912479032465	2.95231289817597
ENSMUSG00000000168.9	14.3032230222998	11.2037027560257	13.7876501661434	10.2088338057732	12.3138110538084	12.1443553564628
ENSMUSG00000000171.4	15.4674194877716	3.33933021532851	14.6411052013667	5.96779527746497	21.9562990794986	53.2352758512698
ENSMUSG00000000182.9	0	0	0	0	0	0
ENSMUSG00000000183.6	0	0	0	0	0	0
